GAME_ID,GAME_DATE,SEASON_YEAR,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_ABBR,VISITOR_TEAM_ABBR,HOME_WIN,H_WPCT,V_WPCT,DIFF_WPCT,H_LOC_WPCT,V_LOC_WPCT,DIFF_LOC_WPCT,H_L10_WPCT,V_L10_WPCT,DIFF_L10_WPCT,H_OFF_RTG,V_OFF_RTG,DIFF_OFF_RTG,H_DEF_RTG,V_DEF_RTG,DIFF_DEF_RTG_INV,H_NET_RTG,V_NET_RTG,DIFF_NET_RTG,H_PACE,V_PACE,DIFF_PACE
0022200001,2022-10-18,2022-23,1610612738,1610612755,BOS,PHI,1,0.0,0.0,0.0,0.7804878048780488,0.6097560975609756,0.1707317073170732,0.8,0.5,0.30000000000000004,117.3,117.0,0.29999999999999716,110.6,112.7,2.1000000000000085,6.700000000000003,4.299999999999997,2.4000000000000057,99.15,97.44,1.710000000000008
0022200002,2022-10-18,2022-23,1610612744,1610612747,GSW,LAL,1,0.0,0.0,0.0,0.8048780487804879,0.4878048780487805,0.3170731707317074,0.8,0.8,0.0,115.1,113.9,1.1999999999999886,113.4,113.2,-0.20000000000000284,1.6999999999999886,0.7000000000000028,0.9999999999999858,102.54,101.92,0.6200000000000045
0022200007,2022-10-19,2022-23,1610612748,1610612741,MIA,CHI,0,0.0,0.0,0.0,0.6585365853658537,0.43902439024390244,0.21951219512195125,0.6,0.6,0.0,112.3,112.8,-0.5,112.8,111.5,-1.2999999999999972,-0.5,1.2999999999999972,-1.7999999999999972,96.76,99.18,-2.4200000000000017
0022200011,2022-10-19,2022-23,1610612759,1610612766,SAS,CHA,0,0.0,0.0,0.0,0.34146341463414637,0.34146341463414637,0.0,0.3,0.5,-0.2,109.7,108.4,1.2999999999999972,119.6,114.7,-4.8999999999999915,-9.899999999999991,-6.299999999999997,-3.5999999999999943,102.07,101.47,0.5999999999999943
0022200013,2022-10-19,2022-23,1610612756,1610612742,PHX,DAL,1,0.0,0.0,0.0,0.6829268292682927,0.36585365853658536,0.3170731707317074,0.7,0.2,0.49999999999999994,114.5,115.9,-1.4000000000000057,112.3,116.1,3.799999999999997,2.200000000000003,-0.19999999999998863,2.3999999999999915,98.83,97.21,1.6200000000000045
0022200010,2022-10-19,2022-23,1610612750,1610612760,MIN,OKC,1,0.0,0.0,0.0,0.5365853658536586,0.3902439024390244,0.14634146341463417,0.7,0.4,0.29999999999999993,113.3,114.2,-0.9000000000000057,113.1,113.2,0.10000000000000853,0.20000000000000284,1.0,-0.7999999999999972,101.55,101.94,-0.39000000000000057
0022200012,2022-10-19,2022-23,1610612762,1610612743,UTA,DEN,1,0.0,0.0,0.0,0.5609756097560976,0.4634146341463415,0.09756097560975613,0.2,0.5,-0.3,115.3,116.8,-1.5,116.0,113.5,-2.5,-0.7000000000000028,3.299999999999997,-4.0,101.02,98.74,2.280000000000001
0022200014,2022-10-19,2022-23,1610612758,1610612757,SAC,POR,0,0.0,0.0,0.0,0.5609756097560976,0.3902439024390244,0.1707317073170732,0.5,0.1,0.4,118.6,114.0,4.599999999999994,116.0,118.0,2.0,2.5999999999999943,-4.0,6.599999999999994,100.99,99.25,1.7399999999999949
0022200005,2022-10-19,2022-23,1610612737,1610612745,ATL,HOU,1,0.0,0.0,0.0,0.5853658536585366,0.1951219512195122,0.39024390243902435,0.5,0.4,0.09999999999999998,115.5,110.5,5.0,115.4,118.6,3.1999999999999886,0.09999999999999432,-8.099999999999994,8.199999999999989,101.56,99.74,1.8200000000000074
0022200006,2022-10-19,2022-23,1610612751,1610612740,BKN,NOP,0,0.0,0.0,0.0,0.5609756097560976,0.36585365853658536,0.19512195121951226,0.6,0.7,-0.09999999999999998,114.6,113.8,0.7999999999999972,113.5,112.0,-1.5,1.0999999999999943,1.7999999999999972,-0.7000000000000028,98.77,99.58,-0.8100000000000023
0022200003,2022-10-19,2022-23,1610612765,1610612753,DET,ORL,1,0.0,0.0,0.0,0.21951219512195122,0.34146341463414637,-0.12195121951219515,0.1,0.5,-0.4,109.9,111.3,-1.3999999999999915,117.8,113.7,-4.099999999999994,-7.8999999999999915,-2.4000000000000057,-5.499999999999986,99.88,99.66,0.21999999999999886
0022200004,2022-10-19,2022-23,1610612754,1610612764,IND,WAS,0,0.0,0.0,0.0,0.4878048780487805,0.3902439024390244,0.09756097560975607,0.3,0.3,0.0,113.8,113.7,0.09999999999999432,117.1,114.9,-2.1999999999999886,-3.299999999999997,-1.2000000000000028,-2.0999999999999943,101.68,99.16,2.5200000000000102
0022200008,2022-10-19,2022-23,1610612761,1610612739,TOR,CLE,1,0.0,0.0,0.0,0.6585365853658537,0.4878048780487805,0.1707317073170732,0.6,0.7,-0.09999999999999998,114.6,115.5,-0.9000000000000057,113.1,109.9,-3.1999999999999886,1.5,5.599999999999994,-4.099999999999994,97.85,96.27,1.5799999999999983
0022200009,2022-10-19,2022-23,1610612763,1610612752,MEM,NYK,1,0.0,0.0,0.0,0.8536585365853658,0.5853658536585366,0.2682926829268293,0.6,0.5,0.09999999999999998,114.7,117.0,-2.299999999999997,110.7,114.2,3.5,4.0,2.799999999999997,1.2000000000000028,101.5,97.75,3.75
0022200016,2022-10-20,2022-23,1610612747,1610612746,LAL,LAC,0,0.0,0.0,0.0,0.5609756097560976,0.5121951219512195,0.04878048780487809,0.8,0.6,0.20000000000000007,113.9,114.0,-0.09999999999999432,113.2,113.6,0.3999999999999915,0.7000000000000028,0.4000000000000057,0.29999999999999716,101.92,98.84,3.0799999999999983
